許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
衛署藥製字第029439號,,,,2029/05/25,1987/02/07,製　劑,01017354,DHY00102943901,立妥膚軟膏,LTOFLA OINTMENT,急慢性濕疹、脂漏性濕疹、貨幣狀濕疹、接觸性皮膚炎、尋常性乾癬、異位性皮膚炎、圓形脫毛症、尋常性白斑（蕁麻疹樣苔癬、粟粒疹或小丘疹、固定蕁麻疹）,軟膏劑,瓶裝;;管裝,須由醫師處方使用,,FLUOCINONIDE,壽元化學工業股份有限公司,嘉義市西區新民路128號,66289377,壽元化學工業股份有限公司,嘉義市西區新民路128號,,TW,,2024/04/10,,
衛署藥製字第048352號,,,,2026/11/01,2006/11/01,製　劑,,DHY00104835206,"""晟德"" 賽力多內服液劑1毫克/毫升","Seridol Oral Solution 1mg/ml ""Center""",思覺失調症之相關症狀、雙極性疾患之躁症發作、治療失智症病人具嚴重攻擊性、躁動或精神病症狀、行為障礙和其他破壞性行為障礙、兒童及青少年自閉症之躁動症狀。 ,內服液劑,塑膠瓶裝,須由醫師處方使用,,RISPERIDONE,晟德大藥廠股份有限公司,台北市南港區園區街3之2號7樓,18606304,晟德大藥廠股份有限公司新竹廠,新竹縣湖口鄉實踐路2號,,TW,,2023/01/03,詳如仿單,
衛署藥製字第030862號,,,,2028/05/02,1988/05/02,製　劑,,DHY00103086209,〝生達〞鎮咳袪痰液,COUGH MIXTURE,鎮咳、袪痰,內服液劑,塑膠桶裝;;塑膠瓶裝,醫師藥師藥劑生指示藥品,,PLATYCODON FLUID EXTRACT,生達化學製藥股份有限公司,臺南市新營區土庫里土庫6之20號,71122503,生達化學製藥股份有限公司二廠,台南市新營區開元路１５４號,,TW,,2023/08/29,,
衛署藥製字第037909號,,,,2029/08/09,1994/08/09,製　劑,,DHY00103790905,痛寧酸痛凝膠100毫克/公克（伊妥芬那邁）,TONIN GEL 100MG/GM (ETOFENAMATE),肌肉性風濕症、上腕肩胛關節周圍炎、腰痛、坐骨神經痛、腱鞘炎、黏液囊炎。,外用凝膠劑,罐裝;;軟管裝,須由醫師處方使用,,ETOFENAMATE,意欣國際有限公司,高雄市三民區懷安街119號,89268331,皇佳化學製藥股份有限公司,高雄市鳥松區松埔路１巷１號,,TW,,2024/07/17,取本劑適量、視疼痛範圍而定，塗抹患部，每日數次（取適量凝膠以手輕輕地將凝膠塗擦於患部及其周圍處，直至凝膠快乾的時候再取適量的凝膠繼續塗擦依前述方法重複塗凝膠2-3次後，俟凝膠自然乾爽時，即完成一次擦藥的動作，每天擦藥2或3次,
內衛成製字第000029號,已註銷,1988/03/19,移轉（申請商）,1988/05/25,1969/03/19,製　劑,,DHY01400002907,均隆號百中驅風油,THE REGAL MEDICATED OIL & EMBROCATION,四時感冒、嘔吐腹瀉、風痰急症、頭痛胃痛、發冷發熱、散瘀止痛、化痰止咳、酒醉嘔吐、舟車暈吐、精神困倦、風濕骨痛、腰腿疼痛、產婦驅風、風寒鶴膝,外用液劑,,成藥,,MENTHOL;;CAMPHOR,均隆有限公司,台北巿南京東路五段３３１號,,均隆有限公司,台北巿南京東路五段３３１號,,TW,,2001/12/30,,
內衛成製字第000038號,已註銷,2023/07/12,未展延而逾期者,2018/05/01,1969/04/03,製　劑,,DHY01400003808,紫藥水１％,METHYLROSANILINE CHLORIDE SOLUTION 1%,外用消毒劑,外用液劑,瓶裝,成藥,,GENTIAN VIOLET,洸洋化學製藥股份有限公司,板橋市信義路２６巷１０號,15013427,龍杏生技製藥股份有限公司,台南市佳里區嘉福里１１５之１號,,TW,,2023/07/18,,
內衛成製字第000039號,已註銷,2025/07/29,未展延而逾期者,2023/05/01,1969/04/03,製　劑,,DHY01400003900,黃藥水０．２％,RIVANOL SOLUTION 0.2%,外用消毒劑,外用液劑,瓶裝,成藥,,ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL),洸洋化學製藥股份有限公司,板橋市信義路２６巷１０號,15013427,龍杏生技製藥股份有限公司,台南市佳里區嘉福里１１５之１號,,TW,,2025/07/29,,
內衛成製字第000040號,已註銷,2015/03/17,藥品類別變更,2018/05/01,1969/04/03,製　劑,,DHY01400004008,雙氧水3%,Hydrogen Peroxide Solution 3%,傷口消毒,外用液劑,塑膠瓶裝,醫師藥師藥劑生指示藥品,,HYDROGEN PEROXIDE,洸洋化學製藥股份有限公司,板橋市信義路２６巷１０號,15013427,龍杏生技製藥股份有限公司,台南市佳里區嘉福里１１５之１號,,TW,,2015/03/17,以棉球沾之塗於患部,
內衛成製字第000041號,已註銷,2023/07/12,未展延而逾期者,2018/05/01,1969/04/03,製　劑,,DHY01400004100,美麗沙而,SAPONATED MILYSOL SOLUTION,一般外用消毒劑,外用液劑,桶裝;;瓶裝,成藥,,CRESOL,洸洋化學製藥股份有限公司,板橋市信義路２６巷１０號,15013427,龍杏生技製藥股份有限公司,台南市佳里區嘉福里１１５之１號,,TW,,2023/07/18,,
內衛成製字第000042號,已註銷,2013/10/16,自行鍵入,2008/05/01,1969/04/03,製　劑,,DHY01400004202,紅藥水２％,MERCUROCHROMUM SOLUTION 2%,外用消毒劑,外用液劑,瓶裝,成藥,,MERBROMIN,洸洋化學製藥股份有限公司,板橋市信義路２６巷１０號,15013427,健康化學製藥股份有限公司,台中市大甲區幼獅工業區幼四路１２號,,TW,,2013/10/16,,
