異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,規格量,規格單位,單複方,支付價,有效起日,有效迄日,藥商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,藥品代碼超連結,給付規定章節連結
,AC48352151,"Seridol Oral Solution 1mg/ml ""Center""","""晟德"" 賽力多內服液劑1毫克/毫升",RISPERIDONE 1 MG/ML,60.0,ML,單方,1366.00,1000201,1001130,晟德大藥廠股份有限公司,晟德大藥廠股份有限公司新竹廠,內服液劑,BA/BE學名藥,"RISPERIDONE , 內服液劑 , 1.00  MG/ML , 60.00 ML",N05AX08,1.2.2.2.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01048352,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=1.2.2.2._20230701.pdf
,AC48352151,"Seridol Oral Solution 1mg/ml ""Center""","""晟德"" 賽力多內服液劑1毫克/毫升",RISPERIDONE 1 MG/ML,60.0,ML,單方,1114.00,1001201,1050331,晟德大藥廠股份有限公司,晟德大藥廠股份有限公司新竹廠,內服液劑,BA/BE學名藥,"RISPERIDONE , 內服液劑 , 1.00  MG/ML , 60.00 ML",N05AX08,1.2.2.2.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01048352,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=1.2.2.2._20230701.pdf
,AC48352151,"Seridol Oral Solution 1mg/ml ""Center""","""晟德"" 賽力多內服液劑1毫克/毫升",RISPERIDONE 1 MG/ML,60.0,ML,單方,1113.00,1050401,9991231,晟德大藥廠股份有限公司,晟德大藥廠股份有限公司新竹廠,內服液劑,BA/BE學名藥,"RISPERIDONE , 內服液劑 , 1.00  MG/ML , 60.00 ML",N05AX08,1.2.2.2.,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01048352,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=1.2.2.2._20230701.pdf
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,0.00,840301,861031,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,36.00,861101,920228,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,32.10,920301,951031,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,31.30,951101,960831,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,26.70,960901,980930,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,25.00,981001,1030630,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
,A030862157,COUGH MIXTURE,〝生達〞鎮咳袪痰液,PLATYCODON EXTRACT 65 MG/ML,120.0,ML,單方,24.60,1030701,1040331,生達化學製藥股份有限公司,生達化學製藥股份有限公司二廠,內服液劑,一般學名藥,"PLATYCODON , 口服液劑 , 65.00  MG/ML , 120.00 ML",R05CA92,,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030862,
