回收分級,文號,日期,產品,許可證字號,批號,許可證持有者,原因
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""癒尿寧膜衣錠100毫克",衛署藥製字第026175號,1087203、2087202、2087205、2087208、4087202-4087203、4087207-4087212、5087201-5087206、5087208-5087210、5087212-5087214,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""必治痛錠３００毫克（乙醯胺酚）",衛署藥製字第026849號,2091202、3091204、4091203、4091204、4091206、4091210、5091203-5091206,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""止血抗炎膠囊２５０公絲（妥內散敏）",衛署藥製字第027044號,1095201-1095202、2095201-2095202、3095201-3095202、4095201-4095202、4095204-4095206、5095202、5095203,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""痔免腫軟膚",衛署藥製字第027231號,1093202、209202-2093203、2093207、3093201-3093204、4093201-4093208、5093201-5093205、6093201-6093202,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""克咳必達膜衣錠３０毫克",衛署藥製字第028284號,2081201-2081202、3081201-3081202、4081201、5081201,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""解熱嗽液",衛署藥製字第028326號,3008201-3008203、4008201-4008202、5008201-5008202、6008201-6008202,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""解暈糖漿３毫克/毫升（氯苯/二苯安明）",衛署藥製字第028617號,2048202、3048201、4048201-4048203、5048201-5048203、6048201,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""司痛能錠",衛署藥製字第028618號,1021207、1021209、2021201-2021203、3021201、3021204-3021206、4021201、4021205-4021207、5021201-5021205、5021208、5021210、6021201-6021203,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""治腫痛膠囊２００公絲（福納密）",衛署藥製字第028619號,2035201、3035201-3035202、4035201-4035202,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
第二級 ,105年5月26日FDA風字第1051102888號(食藥署風管組),2016/05/26,"""大豐""感咳效膠囊",衛署藥製字第028622號,2029203-2029205、4029201-4029205、5029203-5029207,大豐製藥股份有限公司,"未依GMP規定改包裝及儲存藥品、
生產及銷毀紀錄填寫不實。"
